epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,106.06,1.05049,0.92981,1.1463,0.80567,0.77273,0.76581,0.44995,1.62159,1.1363,1.54357,0.0011882,0.0011882,0.0011882
43,108.394,1.04665,0.81998,1.156,0.77161,0.81818,0.80687,0.45119,1.62166,1.03319,1.54069,0.0011684,0.0011684,0.0011684
44,110.677,0.99056,0.79139,1.1174,0.72363,0.86364,0.80727,0.4775,1.51217,1.12975,1.49689,0.0011486,0.0011486,0.0011486
45,113.696,1.07894,0.92359,1.13401,0.79036,0.77273,0.79157,0.46492,1.44509,1.23732,1.43794,0.0011288,0.0011288,0.0011288
46,116.139,1.00542,0.84785,1.16277,0.92961,0.40909,0.59672,0.35104,1.52372,1.67159,1.50875,0.001109,0.001109,0.001109
47,118.422,1.00351,0.83444,1.11662,0.88649,0.45455,0.62085,0.38614,1.62685,1.53568,1.57467,0.0010892,0.0010892,0.0010892
48,120.75,1.0791,0.86565,1.20203,0.76898,0.75699,0.77575,0.47463,1.535,1.08955,1.56294,0.0010694,0.0010694,0.0010694
49,123.007,0.96012,0.78715,1.07695,0.76055,0.77273,0.75052,0.4676,1.47698,1.06634,1.5054,0.0010496,0.0010496,0.0010496
50,125.864,0.97148,0.76779,1.13546,0.68391,0.72727,0.74921,0.49396,1.40852,1.03203,1.47054,0.0010298,0.0010298,0.0010298
51,128.528,0.95632,0.81745,1.13378,0.90633,0.59091,0.78793,0.47961,1.41963,1.00063,1.49235,0.00101,0.00101,0.00101
52,130.867,0.93906,0.75609,1.10025,0.85954,0.63636,0.7875,0.51351,1.43881,1.06509,1.42965,0.0009902,0.0009902,0.0009902
53,133.217,0.97105,0.7814,1.08782,0.7352,0.81818,0.78861,0.50491,1.43017,1.07143,1.39936,0.0009704,0.0009704,0.0009704
54,135.513,0.91126,0.80388,1.12617,0.85245,0.81818,0.80704,0.50007,1.47902,1.07433,1.44105,0.0009506,0.0009506,0.0009506
55,138.312,1.03118,0.85012,1.16127,0.7735,0.81818,0.78186,0.50024,1.51139,1.12001,1.47695,0.0009308,0.0009308,0.0009308
